Orthogroup	sacCer_protein	BG2_protein
OG0001017	NP_013909.1	QNG12768.1
OG0001018	NP_012731.1	QNG12771.1
OG0001019	NP_012732.1	QNG12773.1
OG0001020	NP_012733.1	QNG12774.1
OG0001021	NP_012735.1	QNG12777.1
OG0001022	NP_012736.1	QNG12778.1
OG0001023	NP_012737.1	QNG12779.1
OG0001024	NP_012738.1	QNG12780.1
OG0001025	NP_012739.1	QNG12781.1
OG0001026	NP_012740.1	QNG12782.1
OG0001027	NP_010206.1	QNG12783.1
OG0001028	NP_010207.1	QNG12784.1
OG0001029	NP_010209.1	QNG12786.1
OG0001030	NP_010210.1	QNG12787.1
OG0001031	NP_010211.1	QNG12789.1
OG0001032	NP_010216.1	QNG12791.1
OG0001033	NP_010218.2	QNG12793.1
OG0001034	NP_010219.1	QNG12794.1
OG0001035	NP_010220.1	QNG12795.1
OG0001036	NP_010222.1	QNG12797.1
OG0001037	NP_010223.1	QNG12798.1
OG0001038	NP_010224.1	QNG12799.1
OG0001039	NP_010225.1	QNG12800.1
OG0001040	NP_010226.1	QNG12802.1
OG0001041	NP_010227.1	QNG12803.1
OG0001042	NP_010229.1	QNG12805.1
OG0001043	NP_014350.1	QNG12808.1
OG0001044	NP_009678.3	QNG12809.1
OG0001045	NP_009677.1	QNG12810.1
OG0001046	NP_015400.1	QNG12816.1
OG0001047	NP_015398.1	QNG12818.1
OG0001048	NP_015397.1	QNG12819.1
OG0001049	NP_009670.3	QNG12820.1
OG0001050	NP_015395.1	QNG12821.1
OG0001051	NP_015394.1	QNG12822.1
OG0001052	NP_015393.1	QNG12823.1
OG0001053	NP_009667.1	QNG12824.1
OG0001054	NP_015392.1	QNG12826.1
OG0001055	NP_015391.1	QNG12827.1
OG0001056	NP_015388.1	QNG12828.1
OG0001057	NP_015387.1	QNG12829.1
OG0001058	NP_015386.1	QNG12830.1
OG0001059	NP_015383.1	QNG12831.1
OG0001060	NP_015382.1	QNG12832.1
OG0001061	NP_015381.1	QNG12833.1
OG0001062	NP_015380.1	QNG12834.1
OG0001063	NP_015379.1	QNG12835.1
OG0001064	NP_009645.1	QNG12836.1
OG0001065	NP_009644.3	QNG12837.1
OG0001066	NP_011317.2	QNG12838.1
OG0001067	NP_011319.2	QNG12840.1
OG0001068	NP_011320.3	QNG12841.1
OG0001069	NP_013126.1	QNG12844.1
OG0001070	NP_013125.1	QNG12845.1
OG0001071	NP_012782.1	QNG12847.1
OG0001072	NP_012783.1	QNG12848.1
OG0001073	NP_690844.1	QNG12849.1
OG0001074	NP_012784.1	QNG12850.1
OG0001075	NP_012785.2	QNG12851.1
OG0001076	NP_012787.1	QNG12852.1
OG0001077	NP_013834.1	QNG12853.1
OG0001078	NP_012788.2	QNG12854.1
OG0001079	NP_116636.1	QNG12856.1
OG0001080	NP_116637.1	QNG12857.1
OG0001081	NP_014622.1	QNG12858.1
OG0001082	NP_014994.3	QNG12859.1
OG0001083	NP_014996.3	QNG12861.1
OG0001084	NP_014997.1	QNG12862.1
OG0001085	NP_014998.3	QNG12863.1
OG0001086	NP_014999.1	QNG12864.1
OG0001087	NP_013216.1	QNG12865.1
OG0001088	NP_013217.1	QNG12866.1
OG0001089	NP_013218.1	QNG12867.1
OG0001090	NP_013219.1	QNG12868.1
OG0001091	NP_013220.1	QNG12869.1
OG0001092	NP_014076.1	QNG12870.1
OG0001093	NP_014074.1	QNG12871.1
OG0001094	NP_014073.1	QNG12873.1
OG0001095	NP_014072.2	QNG12874.1
OG0001096	NP_014071.1	QNG12875.1
OG0001097	NP_014070.1	QNG12876.1
OG0001098	NP_014495.2	QNG12877.1
OG0001099	NP_014494.1	QNG12878.1
OG0001100	NP_012122.3	QNG12881.1
OG0001101	NP_012067.4	QNG12882.1
OG0001102	NP_012069.3	QNG12883.1
OG0001103	NP_013064.1	QNG12885.1
OG0001104	NP_011835.1	QNG12886.1
OG0001105	NP_013065.1	QNG12887.1
OG0001106	NP_013066.1	QNG12888.1
OG0001107	NP_013067.1	QNG12889.1
OG0001108	NP_013106.1	QNG12890.1
OG0001109	NP_013114.1	QNG12891.1
OG0001110	NP_013115.1	QNG12892.1
OG0001111	NP_013116.1	QNG12894.1
OG0001112	NP_012528.1	QNG12895.1
OG0001113	NP_012526.1	QNG12896.1
OG0001114	NP_012534.1	QNG12897.1
OG0001115	NP_012533.1	QNG12898.1
OG0001116	NP_013097.1	QNG12899.1
OG0001117	NP_012531.1	QNG12900.1
OG0001118	NP_013093.1	QNG12901.1
OG0001119	NP_012530.1	QNG12902.1
OG0001120	NP_012529.3	QNG12903.1
OG0001121	NP_013117.1	QNG12904.1
OG0001122	NP_013118.1	QNG12905.1
OG0001123	NP_013121.1	QNG12908.1
OG0001124	NP_013122.1	QNG12909.1
OG0001125	NP_013123.1	QNG12910.1
OG0001126	NP_013124.1	QNG12911.1
OG0001127	NP_012510.3	QNG12912.1
OG0001128	NP_012509.1	QNG12913.1
OG0001129	NP_012508.1	QNG12914.1
OG0001130	NP_011689.1	QNG12915.1
OG0001131	NP_012725.1	QNG12916.1
OG0001132	NP_012726.2	QNG12917.1
OG0001133	NP_012727.1	QNG12918.1
OG0001134	NP_012728.1	QNG12919.1
OG0001135	NP_012729.1	QNG12920.1
OG0001136	NP_013904.1	QNG12923.1
OG0001137	NP_015098.1	QNG12924.1
OG0001138	NP_013903.1	QNG12925.1
OG0001139	NP_015366.1	QNG12926.1
OG0001140	NP_011929.1	QNG12927.1
OG0001141	NP_011928.1	QNG12928.1
OG0001142	NP_011927.1	QNG12929.1
OG0001143	NP_011926.1	QNG12930.1
OG0001144	NP_011925.1	QNG12931.1
OG0001145	NP_011899.1	QNG12935.1
OG0001146	NP_011900.1	QNG12936.1
OG0001147	NP_011901.1	QNG12937.1
OG0001148	NP_011902.1	QNG12938.1
OG0001149	NP_011531.1	QNG12939.1
OG0001150	NP_011533.3	QNG12940.1
OG0001151	NP_011534.1	QNG12941.1
OG0001152	NP_011535.1	QNG12942.1
OG0001153	NP_011908.1	QNG12944.1
OG0001154	NP_011907.1	QNG12945.1
OG0001155	NP_012173.3	QNG12946.1
OG0001156	NP_012175.1	QNG12947.1
OG0001157	NP_012176.1	QNG12948.1
OG0001158	NP_013794.1	QNG12949.1
OG0001159	NP_013795.1	QNG12950.1
OG0001160	NP_013797.1	QNG12952.1
OG0001161	NP_010302.1	QNG12953.1
OG0001162	NP_010300.3	QNG12954.1
OG0001163	NP_010299.3	QNG12955.1
OG0001164	NP_001035220.1	QNG12956.1
OG0001165	NP_010296.3	QNG12959.1
OG0001166	NP_015441.1	QNG12960.1
OG0001167	NP_015442.1	QNG12961.1
OG0001168	NP_015443.1	QNG12962.1
OG0001169	NP_015444.1	QNG12963.1
OG0001170	NP_015447.1	QNG12965.1
OG0001171	NP_015449.1	QNG12966.1
OG0001172	NP_015450.1	QNG12967.1
OG0001173	NP_015453.1	QNG12969.1
OG0001174	NP_015456.2	QNG12970.1
OG0001175	NP_015458.1	QNG12971.1
OG0001176	NP_015459.1	QNG12972.1
OG0001177	NP_015461.1	QNG12974.1
OG0001178	NP_015463.1	QNG12975.1
OG0001179	NP_015465.1	QNG12977.1
OG0001180	NP_015466.1	QNG12978.1
OG0001181	NP_015467.1	QNG12979.1
OG0001182	NP_015469.1	QNG12980.1
OG0001183	NP_011639.3	QNG12981.1
OG0001184	NP_013061.1	QNG12982.1
OG0001185	NP_116692.1	QNG12985.1
OG0001186	NP_116691.3	QNG12986.1
OG0001187	NP_116690.3	QNG12987.1
OG0001188	NP_116689.1	QNG12988.1
OG0001189	NP_116687.1	QNG12989.1
OG0001190	NP_116686.3	QNG12990.1
OG0001191	NP_009815.1	QNG12991.1
OG0001192	NP_116328.4	QNG12992.1
OG0001193	NP_009814.3	QNG12993.1
OG0001194	NP_009813.1	QNG12994.1
OG0001195	NP_009812.1	QNG12995.1
OG0001196	NP_009810.3	QNG12996.1
OG0001197	NP_015390.1	QNG12997.1
OG0001198	NP_011702.1	QNG12998.1
OG0001199	NP_011703.3	QNG12999.1
OG0001200	NP_013087.1	QNG13000.1
OG0001201	NP_013088.1	QNG13001.1
OG0001202	NP_013090.1	QNG13003.1
OG0001203	NP_013092.1	QNG13005.1
OG0001204	NP_013094.1	QNG13007.1
OG0001205	NP_013095.1	QNG13008.1
OG0001206	NP_013096.1	QNG13009.1
OG0001207	NP_012532.3	QNG13010.1
OG0001208	NP_013098.1	QNG13011.1
OG0001209	NP_013099.1	QNG13012.1
OG0001210	NP_013100.1	QNG13013.1
OG0001211	NP_013101.1	QNG13014.1
OG0001212	NP_012535.3	QNG13015.1
OG0001213	NP_011694.3	QNG13016.1
OG0001214	NP_011691.1	QNG13018.1
OG0001215	NP_011690.3	QNG13019.1
OG0001216	NP_012586.1	QNG13020.1
OG0001217	NP_012587.3	QNG13021.1
OG0001218	NP_012589.1	QNG13023.1
OG0001219	NP_011475.1	QNG13024.1
OG0001220	NP_001106172.4	QNG13025.1
OG0001221	NP_011472.1	QNG13026.1
OG0001222	NP_011471.1	QNG13027.1
OG0001223	NP_011470.4	QNG13028.1
OG0001224	NP_011468.1	QNG13030.1
OG0001225	NP_011467.1	QNG13031.1
OG0001226	NP_011465.3	QNG13033.1
OG0001227	NP_013406.1	QNG13035.1
OG0001228	NP_013408.1	QNG13037.1
OG0001229	NP_013409.1	QNG13038.1
OG0001230	NP_013083.1	QNG13042.1
OG0001231	NP_013082.1	QNG13043.1
OG0001232	NP_013081.1	QNG13044.1
OG0001233	NP_015018.3	QNG13046.1
OG0001234	NP_013289.1	QNG13055.1
OG0001235	NP_010019.1	QNG13056.1
OG0001236	NP_010017.2	QNG13058.1
OG0001237	NP_010016.2	QNG13059.1
OG0001238	NP_010014.1	QNG13060.1
OG0001239	NP_010011.1	QNG13061.1
OG0001240	NP_010009.1	QNG13062.1
OG0001241	NP_010006.1	QNG13064.1
OG0001242	NP_010005.1	QNG13065.1
OG0001243	NP_010004.1	QNG13066.1
OG0001244	NP_010003.2	QNG13067.1
OG0001245	NP_010462.3	QNG13068.1
OG0001246	NP_010461.3	QNG13069.1
OG0001247	NP_010460.1	QNG13070.1
OG0001248	NP_010459.1	QNG13071.1
OG0001249	NP_010458.3	QNG13072.1
OG0001250	NP_010457.3	QNG13073.1
OG0001251	NP_010456.1	QNG13074.1
OG0001252	NP_010454.3	QNG13075.1
OG0001253	NP_013251.1	QNG13076.1
OG0001254	NP_010453.1	QNG13077.1
OG0001255	NP_010452.1	QNG13078.1
OG0001256	NP_010451.3	QNG13079.1
OG0001257	NP_010450.3	QNG13080.1
OG0001258	NP_010449.1	QNG13081.1
OG0001259	NP_010448.1	QNG13082.1
OG0001260	NP_010447.3	QNG13083.1
OG0001261	NP_010446.3	QNG13084.1
OG0001262	NP_010445.1	QNG13085.1
OG0001263	NP_010444.1	QNG13086.1
OG0001264	NP_010443.3	QNG13087.1
OG0001265	NP_010442.3	QNG13088.1
OG0001266	NP_010440.1	QNG13089.1
OG0001267	NP_010439.1	QNG13090.1
OG0001268	NP_010437.3	QNG13091.1
OG0001269	NP_010436.3	QNG13092.1
OG0001270	NP_010434.1	QNG13094.1
OG0001271	NP_010432.3	QNG13095.1
OG0001272	NP_010430.1	QNG13097.1
OG0001273	NP_010429.1	QNG13099.1
OG0001274	NP_010427.3	QNG13101.1
OG0001275	NP_014502.1	QNG13102.1
OG0001276	NP_014503.2	QNG13103.1
OG0001277	NP_014504.1	QNG13104.1
OG0001278	NP_014505.1	QNG13105.1
OG0001279	NP_014506.1	QNG13106.1
OG0001280	NP_014508.1	QNG13107.1
OG0001281	NP_014086.1	QNG13108.1
OG0001282	NP_014509.1	QNG13109.1
OG0001283	NP_014512.1	QNG13111.1
OG0001284	NP_014515.2	QNG13113.1
OG0001285	NP_014516.1	QNG13122.1
OG0001286	NP_014517.1	QNG13123.1
OG0001287	NP_014519.1	QNG13125.1
OG0001288	NP_014522.1	QNG13128.1
OG0001289	NP_014524.1	QNG13129.1
OG0001290	NP_014527.1	QNG13132.1
OG0001291	NP_014530.1	QNG13134.1
OG0001292	NP_014531.1	QNG13135.1
OG0001293	NP_014110.1	QNG13137.1
OG0001294	NP_014630.1	QNG13139.1
OG0001295	NP_014631.1	QNG13140.1
OG0001296	NP_014633.1	QNG13142.1
OG0001297	NP_014634.1	QNG13143.1
OG0001298	NP_014635.1	QNG13144.1
OG0001299	NP_014636.1	QNG13145.1
OG0001300	NP_014638.1	QNG13147.1
OG0001301	NP_014639.1	QNG13148.1
OG0001302	NP_014640.1	QNG13149.1
OG0001303	NP_014641.2	QNG13150.1
OG0001304	NP_014642.1	QNG13151.1
OG0001305	NP_014643.1	QNG13152.1
OG0001306	NP_013713.1	QNG13153.1
OG0001307	NP_014644.1	QNG13154.1
OG0001308	NP_014646.1	QNG13156.1
OG0001309	NP_014647.1	QNG13157.1
OG0001310	NP_014648.1	QNG13158.1
OG0001311	NP_014649.1	QNG13159.1
OG0001312	NP_009547.2	QNG13160.1
OG0001313	NP_009546.1	QNG13161.1
OG0001314	NP_009545.2	QNG13162.1
OG0001315	NP_009543.1	QNG13163.1
OG0001316	NP_009542.1	QNG13164.1
OG0001317	NP_009540.2	QNG13165.1
OG0001318	NP_009539.2	QNG13166.1
OG0001319	NP_011486.1	QNG13168.1
OG0001320	NP_011666.1	QNG13169.1
OG0001321	NP_011665.1	QNG13170.1
OG0001322	NP_011663.3	QNG13171.1
OG0001323	NP_011661.2	QNG13173.1
OG0001324	NP_011668.3	QNG13174.1
OG0001325	NP_011671.3	QNG13175.1
OG0001326	NP_011672.1	QNG13176.1
OG0001327	NP_011673.1	QNG13177.1
OG0001328	NP_011674.3	QNG13178.1
OG0001329	NP_011675.1	QNG13179.1
OG0001330	NP_011677.3	QNG13180.1
OG0001331	NP_011679.3	QNG13182.1
OG0001332	NP_013412.1	QNG13186.1
OG0001333	NP_013413.1	QNG13187.1
OG0001334	NP_013416.2	QNG13189.1
OG0001335	NP_013418.2	QNG13191.1
OG0001336	NP_011840.1	QNG13192.1
OG0001337	NP_011839.1	QNG13193.1
OG0001338	NP_011838.1	QNG13196.1
OG0001339	NP_011837.2	QNG13197.1
OG0001340	NP_011836.1	QNG13198.1
OG0001341	NP_011834.1	QNG13199.1
OG0001342	NP_013062.1	QNG13200.1
OG0001343	NP_011833.1	QNG13201.1
OG0001344	NP_011832.1	QNG13203.1
OG0001345	NP_011831.1	QNG13205.1
OG0001346	NP_011827.1	QNG13209.1
OG0001347	NP_011825.1	QNG13210.1
OG0001348	NP_013050.1	QNG13211.1
OG0001349	NP_011824.1	QNG13212.1
OG0001350	NP_010862.1	QNG13214.1
OG0001351	NP_010861.3	QNG13215.1
OG0001352	NP_009626.1	QNG13217.1
OG0001353	NP_013676.2	QNG13219.1
OG0001354	NP_013675.1	QNG13220.1
OG0001355	NP_013674.1	QNG13221.1
OG0001356	NP_011871.1	QNG13223.1
OG0001357	NP_011872.1	QNG13224.1
OG0001358	NP_011873.1	QNG13225.1
OG0001359	NP_011875.1	QNG13226.1
OG0001360	NP_011876.1	QNG13227.1
OG0001361	NP_011877.1	QNG13228.1
OG0001362	NP_014666.1	QNG13230.1
OG0001363	NP_014665.1	QNG13231.1
OG0001364	NP_014664.1	QNG13232.1
OG0001365	NP_010337.3	QNG13235.1
OG0001366	NP_010339.1	QNG13236.1
OG0001367	NP_010341.3	QNG13239.1
OG0001368	NP_010342.3	QNG13240.1
OG0001369	NP_010343.1	QNG13241.1
OG0001370	NP_010508.1	QNG13243.1
OG0001371	NP_010507.3	QNG13244.1
OG0001372	NP_010505.3	QNG13245.1
OG0001373	NP_010504.1	QNG13246.1
OG0001374	NP_010503.1	QNG13247.1
OG0001375	NP_010502.3	QNG13248.1
OG0001376	NP_010500.3	QNG13249.1
OG0001377	NP_011372.3	QNG13250.1
OG0001378	NP_116577.1	QNG13252.1
OG0001379	NP_011367.1	QNG13254.1
OG0001380	NP_011365.1	QNG13255.1
OG0001381	NP_011364.1	QNG13256.1
OG0001382	NP_011362.3	QNG13257.1
OG0001383	NP_011361.1	QNG13258.1
OG0001384	NP_011360.1	QNG13259.1
OG0001385	NP_011359.1	QNG13260.1
OG0001386	NP_014974.3	QNG13265.1
OG0001387	NP_014975.2	QNG13266.1
OG0001388	NP_014977.3	QNG13267.1
OG0001389	NP_014979.1	QNG13268.1
OG0001390	NP_014980.3	QNG13269.1
OG0001391	NP_014981.1	QNG13270.1
OG0001392	NP_014985.1	QNG13273.1
OG0001393	NP_014986.3	QNG13274.1
OG0001394	NP_014987.1	QNG13275.1
OG0001395	NP_014989.3	QNG13276.1
OG0001396	NP_014991.1	QNG13277.1
OG0001397	NP_014993.1	QNG13279.1
OG0001398	NP_015118.1	QNG13280.1
OG0001399	NP_015117.1	QNG13281.1
OG0001400	NP_015116.1	QNG13282.1
OG0001401	NP_015115.1	QNG13283.1
OG0001402	NP_015114.2	QNG13284.1
OG0001403	NP_015112.1	QNG13285.1
OG0001404	NP_015111.1	QNG13286.1
OG0001405	NP_015110.1	QNG13287.1
OG0001406	NP_015109.1	QNG13288.1
OG0001407	NP_015107.1	QNG13289.1
OG0001408	NP_015106.1	QNG13290.1
OG0001409	NP_015102.1	QNG13293.1
OG0001410	NP_015097.1	QNG13296.1
OG0001411	NP_015095.1	QNG13298.1
OG0001412	NP_015093.1	QNG13301.1
OG0001413	NP_015091.1	QNG13303.1
OG0001414	NP_015090.1	QNG13304.1
OG0001415	NP_012763.1	QNG13306.1
OG0001416	NP_012762.1	QNG13307.1
OG0001417	NP_012767.1	QNG13309.1
OG0001418	NP_012768.1	QNG13310.1
OG0001419	NP_012770.1	QNG13311.1
OG0001420	NP_012771.1	QNG13312.1
OG0001421	NP_012772.1	QNG13314.1
OG0001422	NP_012773.1	QNG13315.1
OG0001423	NP_012776.1	QNG13316.1
OG0001424	NP_012777.1	QNG13317.1
OG0001425	NP_012780.1	QNG13318.1
OG0001426	NP_012524.3	QNG13319.1
OG0001427	NP_010935.1	QNG13320.1
OG0001428	NP_014052.1	QNG13327.1
OG0001429	NP_012611.1	QNG13329.1
OG0001430	NP_012711.1	QNG13330.1
OG0001431	NP_012610.1	QNG13331.1
OG0001432	NP_012609.3	QNG13332.1
OG0001433	NP_012608.1	QNG13333.1
OG0001434	NP_012607.1	QNG13335.1
OG0001435	NP_012604.1	QNG13336.1
OG0001436	NP_012603.1	QNG13337.1
OG0001437	NP_012602.3	QNG13338.1
OG0001438	NP_012601.1	QNG13339.1
OG0001439	NP_012599.3	QNG13341.1
OG0001440	NP_012598.1	QNG13342.1
OG0001441	NP_012597.1	QNG13343.1
OG0001442	NP_010805.1	QNG13344.1
OG0001443	NP_009890.1	QNG13345.1
OG0001444	NP_014968.1	QNG13349.1
OG0001445	NP_014967.3	QNG13351.1
OG0001446	NP_014593.1	QNG13354.1
OG0001447	NP_014594.2	QNG13355.1
OG0001448	NP_014595.2	QNG13356.1
OG0001449	NP_014598.1	QNG13358.1
OG0001450	NP_014600.1	QNG13361.1
OG0001451	NP_014601.1	QNG13362.1
OG0001452	NP_014602.1	QNG13363.1
OG0001453	NP_014611.1	QNG13364.1
OG0001454	NP_014610.1	QNG13365.1
OG0001455	NP_014609.1	QNG13366.1
OG0001456	NP_014608.1	QNG13367.1
OG0001457	NP_014604.1	QNG13369.1
OG0001458	NP_014616.1	QNG13370.1
OG0001459	NP_014615.1	QNG13371.1
OG0001460	NP_014613.1	QNG13372.1
OG0001461	NP_014612.1	QNG13373.1
OG0001462	NP_014660.1	QNG13374.1
OG0001463	NP_014657.1	QNG13375.1
OG0001464	NP_014650.1	QNG13379.1
OG0001465	NP_013170.1	QNG13380.1
OG0001466	NP_013169.1	QNG13381.1
OG0001467	NP_013168.1	QNG13382.1
OG0001468	NP_013167.1	QNG13383.1
OG0001469	NP_013166.1	QNG13384.1
OG0001470	NP_013165.1	QNG13385.1
OG0001471	NP_013164.1	QNG13386.1
OG0001472	NP_013161.1	QNG13388.1
OG0001473	NP_013160.1	QNG13389.1
OG0001474	NP_013159.1	QNG13390.1
OG0001475	NP_013158.1	QNG13391.1
OG0001476	NP_013157.1	QNG13392.1
OG0001477	NP_013156.1	QNG13394.1
OG0001478	NP_013155.2	QNG13395.1
OG0001479	NP_013153.1	QNG13397.1
OG0001480	NP_013152.1	QNG13398.1
OG0001481	NP_013150.1	QNG13400.1
OG0001482	NP_013151.1	QNG13401.1
OG0001483	NP_570898.1	QNG13402.1
OG0001484	NP_015307.1	QNG13403.1
OG0001485	NP_116647.1	QNG13405.1
OG0001486	NP_116650.1	QNG13407.1
OG0001487	NP_116652.1	QNG13409.1
OG0001488	NP_116661.1	QNG13410.1
OG0001489	NP_116658.1	QNG13411.1
OG0001490	NP_116656.1	QNG13413.1
OG0001491	NP_116662.1	QNG13414.1
OG0001492	NP_116663.1	QNG13415.1
OG0001493	NP_012334.1	QNG13418.1
OG0001494	NP_012332.1	QNG13419.1
OG0001495	NP_012331.1	QNG13420.1
OG0001496	NP_012330.1	QNG13421.1
OG0001497	NP_012329.1	QNG13422.1
OG0001498	NP_010686.1	QNG13423.1
OG0001499	NP_010687.3	QNG13424.1
OG0001500	NP_010688.4	QNG13425.1
OG0001501	NP_010690.1	QNG13426.1
OG0001502	NP_010691.1	QNG13427.1
OG0001503	NP_010692.3	QNG13428.1
OG0001504	NP_010693.3	QNG13429.1
OG0001505	NP_010695.1	QNG13431.1
OG0001506	NP_010696.3	QNG13432.1
OG0001507	NP_010698.1	QNG13434.1
OG0001508	NP_010699.1	QNG13435.1
OG0001509	NP_010700.3	QNG13436.1
OG0001510	NP_010702.4	QNG13437.1
OG0001511	NP_010703.1	QNG13438.1
OG0001512	NP_010704.1	QNG13439.1
OG0001513	NP_010707.3	QNG13441.1
OG0001514	NP_010708.1	QNG13442.1
OG0001515	NP_010709.1	QNG13443.1
OG0001516	NP_010710.4	QNG13444.1
OG0001517	NP_010711.3	QNG13445.1
OG0001518	NP_010712.1	QNG13446.1
OG0001519	NP_010713.1	QNG13447.1
OG0001520	NP_010715.3	QNG13448.1
OG0001521	NP_010718.1	QNG13449.1
OG0001522	NP_010722.3	QNG13450.1
OG0001523	NP_010723.1	QNG13451.1
OG0001524	NP_011946.1	QNG13453.1
OG0001525	NP_011947.2	QNG13454.1
OG0001526	NP_011949.1	QNG13456.1
OG0001527	NP_011950.1	QNG13457.1
OG0001528	NP_013997.1	QNG13458.1
OG0001529	NP_013999.1	QNG13459.1
OG0001530	NP_014001.1	QNG13461.1
OG0001531	NP_012351.1	QNG13463.1
OG0001532	NP_015156.1	QNG13464.1
OG0001533	NP_015155.1	QNG13465.1
OG0001534	NP_015150.2	QNG13467.1
OG0001535	NP_015151.1	QNG13468.1
OG0001536	NP_015152.1	QNG13470.1
OG0001537	NP_015153.1	QNG13471.1
OG0001538	NP_013941.2	QNG13473.1
OG0001539	NP_013940.1	QNG13474.1
OG0001540	NP_013939.1	QNG13475.1
OG0001541	NP_013938.1	QNG13476.1
OG0001542	NP_013937.1	QNG13477.1
OG0001543	NP_013936.1	QNG13478.1
OG0001544	NP_013935.1	QNG13479.1
OG0001545	NP_013942.1	QNG13480.1
OG0001546	NP_013943.1	QNG13481.1
OG0001547	NP_013944.1	QNG13482.1
OG0001548	NP_013945.1	QNG13483.1
OG0001549	NP_013947.1	QNG13485.1
OG0001550	NP_013948.1	QNG13486.1
OG0001551	NP_009639.3	QNG13487.1
OG0001552	NP_009525.1	QNG13489.1
OG0001553	NP_009524.1	QNG13490.1
OG0001554	NP_076874.1	QNG13491.1
OG0001555	NP_009522.1	QNG13493.1
OG0001556	NP_009521.1	QNG13494.1
OG0001557	NP_009520.1	QNG13495.1
OG0001558	NP_009519.1	QNG13496.1
OG0001559	NP_009518.1	QNG13497.1
OG0001560	NP_009643.2	QNG13498.1
OG0001561	NP_009517.1	QNG13499.1
OG0001562	NP_009516.1	QNG13500.1
OG0001563	NP_009515.1	QNG13501.1
OG0001564	NP_009513.1	QNG13503.1
OG0001565	NP_009512.1	QNG13504.1
OG0001566	NP_009511.1	QNG13505.1
OG0001567	NP_009510.1	QNG13506.1
OG0001568	NP_009508.1	QNG13507.1
OG0001569	NP_009507.1	QNG13508.1
OG0001570	NP_009506.1	QNG13509.1
OG0001571	NP_009504.1	QNG13510.1
OG0001572	NP_009503.1	QNG13511.1
OG0001573	NP_013358.1	QNG13512.1
OG0001574	NP_014626.1	QNG13514.1
OG0001575	NP_012130.1	QNG13517.1
OG0001576	NP_015481.1	QNG13519.1
OG0001577	NP_015486.1	QNG13521.1
OG0001578	NP_014821.3	QNG13522.1
OG0001579	NP_013376.1	QNG13523.1
OG0001580	NP_013377.1	QNG13524.1
OG0001581	NP_013378.1	QNG13525.1
OG0001582	NP_013379.1	QNG13526.1
OG0001583	NP_013383.1	QNG13527.1
OG0001584	NP_013385.1	QNG13528.1
OG0001585	NP_013516.1	QNG13530.1
OG0001586	NP_010773.4	QNG13533.1
OG0001587	NP_010772.1	QNG13534.1
OG0001588	NP_009711.3	QNG13535.1
OG0001589	NP_009710.3	QNG13536.1
OG0001590	NP_009709.1	QNG13537.1
OG0001591	NP_013330.1	QNG13538.1
OG0001592	NP_010496.3	QNG13539.1
OG0001593	NP_010494.1	QNG13540.1
OG0001594	NP_010493.1	QNG13541.1
OG0001595	NP_010491.4	QNG13543.1
OG0001596	NP_010490.1	QNG13544.1
OG0001597	NP_010488.1	QNG13545.1
OG0001598	NP_010487.3	QNG13546.1
OG0001599	NP_010486.3	QNG13547.1
OG0001600	NP_010484.1	QNG13548.1
OG0001601	NP_010483.1	QNG13549.1
OG0001602	NP_010482.3	QNG13550.1
OG0001603	NP_010480.1	QNG13551.1
OG0001604	NP_010478.3	QNG13552.1
OG0001605	NP_010477.3	QNG13553.1
OG0001606	NP_010476.1	QNG13554.1
OG0001607	NP_010475.1	QNG13555.1
OG0001608	NP_010472.3	QNG13556.1
OG0001609	NP_010470.1	QNG13557.1
OG0001610	NP_010469.3	QNG13558.1
OG0001611	NP_010468.1	QNG13559.1
OG0001612	NP_010467.1	QNG13560.1
OG0001613	NP_010466.3	QNG13561.1
OG0001614	NP_010465.4	QNG13562.1
OG0001615	NP_010464.1	QNG13563.1
OG0001616	NP_013746.1	QNG13565.1
OG0001617	NP_013747.1	QNG13566.1
OG0001618	NP_013749.1	QNG13568.1
OG0001619	NP_013750.1	QNG13569.1
OG0001620	NP_013752.1	QNG13571.1
OG0001621	NP_013753.1	QNG13572.1
OG0001622	NP_013755.1	QNG13573.1
OG0001623	NP_012854.1	QNG13574.1
OG0001624	NP_013763.1	QNG13575.1
OG0001625	NP_013758.1	QNG13577.1
OG0001626	NP_013757.1	QNG13578.1
OG0001627	NP_013756.1	QNG13579.1
OG0001628	NP_012850.1	QNG13582.1
OG0001629	NP_013771.1	QNG13583.1
OG0001630	NP_013774.1	QNG13584.1
OG0001631	NP_013775.2	QNG13585.1
OG0001632	NP_013776.1	QNG13586.1
OG0001633	NP_013777.1	QNG13587.1
OG0001634	NP_013778.1	QNG13588.1
OG0001635	NP_012845.1	QNG13589.1
OG0001636	NP_013779.1	QNG13590.1
OG0001637	NP_013780.1	QNG13591.1
OG0001638	NP_013781.1	QNG13592.1
OG0001639	NP_013782.1	QNG13593.1
OG0001640	NP_013783.1	QNG13594.1
OG0001641	NP_013784.1	QNG13595.1
OG0001642	NP_011868.1	QNG13596.1
OG0001643	NP_011869.1	QNG13597.1
OG0001644	NP_012288.1	QNG13599.1
OG0001645	NP_012289.3	QNG13600.1
OG0001646	NP_012290.1	QNG13601.1
OG0001647	NP_012291.1	QNG13602.1
OG0001648	NP_012292.3	QNG13603.1
OG0001649	NP_012299.1	QNG13604.1
OG0001650	NP_012904.3	QNG13605.1
OG0001651	NP_012300.3	QNG13606.1
