Orthogroup	Species	BG2_protein	Orthologs
OG0002506	CBS138_protein	QNG14739.1	XP_447579.1
OG0002506	sacCer_protein	QNG14739.1	NP_014545.2
OG0002507	CBS138_protein	QNG14740.1	XP_447580.1
OG0002507	sacCer_protein	QNG14740.1	NP_014546.1
OG0002508	CBS138_protein	QNG14741.1	XP_447581.1
OG0002508	sacCer_protein	QNG14741.1	NP_014547.1
OG0002509	CBS138_protein	QNG14742.1	XP_447582.1
OG0002509	sacCer_protein	QNG14742.1	NP_014548.1
OG0002510	CBS138_protein	QNG14743.1	XP_447583.1
OG0002510	sacCer_protein	QNG14743.1	NP_014549.1
OG0002511	sacCer_protein	QNG14745.1	NP_014551.1
OG0002511	CBS138_protein	QNG14745.1	XP_447585.1
OG0002512	sacCer_protein	QNG14747.1	NP_014553.1
OG0002512	CBS138_protein	QNG14747.1	XP_447587.1
OG0002513	sacCer_protein	QNG14748.1	NP_009712.1
OG0002513	CBS138_protein	QNG14748.1	XP_447588.1
OG0002514	sacCer_protein	QNG14749.1	NP_014554.1
OG0002514	CBS138_protein	QNG14749.1	XP_447589.1
OG0002515	sacCer_protein	QNG14751.1	NP_014557.1
OG0002515	CBS138_protein	QNG14751.1	XP_447591.1
OG0002516	sacCer_protein	QNG14754.1	NP_014561.1
OG0002516	CBS138_protein	QNG14754.1	XP_447594.1
OG0002517	sacCer_protein	QNG14755.1	NP_014563.1
OG0002517	CBS138_protein	QNG14755.1	XP_447595.1
OG0002518	sacCer_protein	QNG14756.1	NP_014564.1
OG0002518	CBS138_protein	QNG14756.1	XP_002999562.1
OG0002519	sacCer_protein	QNG14757.1	NP_014565.2
OG0002519	CBS138_protein	QNG14757.1	XP_447596.1
OG0002520	sacCer_protein	QNG14758.1	NP_014566.1
OG0002520	CBS138_protein	QNG14758.1	XP_447597.1
OG0002521	sacCer_protein	QNG14759.1	NP_014567.2
OG0002521	CBS138_protein	QNG14759.1	XP_447598.1
OG0002522	CBS138_protein	QNG14761.1	XP_447600.1
OG0002522	sacCer_protein	QNG14761.1	NP_014569.1
OG0002523	CBS138_protein	QNG14762.1	XP_447601.1
OG0002523	sacCer_protein	QNG14762.1	NP_014570.1
OG0002524	sacCer_protein	QNG14763.1	NP_014571.1
OG0002524	CBS138_protein	QNG14763.1	XP_447602.1
OG0002525	sacCer_protein	QNG14765.1	NP_010937.3
OG0002525	CBS138_protein	QNG14765.1	XP_447604.1
OG0002526	sacCer_protein	QNG14766.1	NP_012651.1
OG0002526	CBS138_protein	QNG14766.1	XP_447605.1
OG0002527	sacCer_protein	QNG14767.1	NP_010938.1
OG0002527	CBS138_protein	QNG14767.1	XP_447606.1
OG0002528	sacCer_protein	QNG14768.1	NP_010939.1
OG0002528	CBS138_protein	QNG14768.1	XP_447607.1
OG0002529	sacCer_protein	QNG14769.1	NP_010940.3
OG0002529	CBS138_protein	QNG14769.1	XP_447608.1
OG0002530	CBS138_protein	QNG14770.1	XP_447609.1
OG0002530	sacCer_protein	QNG14770.1	NP_010941.1
OG0002531	CBS138_protein	QNG14771.1	XP_447610.1
OG0002531	sacCer_protein	QNG14771.1	NP_010942.1
OG0002532	CBS138_protein	QNG14772.1	XP_447611.1
OG0002532	sacCer_protein	QNG14772.1	NP_015487.1
OG0002533	sacCer_protein	QNG14773.1	NP_015488.1
OG0002533	CBS138_protein	QNG14773.1	XP_447612.1
OG0002534	sacCer_protein	QNG14774.1	NP_015489.1
OG0002534	CBS138_protein	QNG14774.1	XP_447613.1
OG0002535	CBS138_protein	QNG14775.1	XP_447614.1
OG0002535	sacCer_protein	QNG14775.1	NP_015490.1
OG0002536	CBS138_protein	QNG14777.1	XP_447616.1
OG0002536	sacCer_protein	QNG14777.1	NP_015491.1
OG0002537	CBS138_protein	QNG14778.1	XP_447617.1
OG0002537	sacCer_protein	QNG14778.1	NP_015492.1
OG0002538	sacCer_protein	QNG14779.1	NP_015493.1
OG0002538	CBS138_protein	QNG14779.1	XP_447618.1
OG0002539	sacCer_protein	QNG14780.1	NP_015494.1
OG0002539	CBS138_protein	QNG14780.1	XP_447619.1
OG0002540	sacCer_protein	QNG14781.1	NP_011083.3
OG0002540	CBS138_protein	QNG14781.1	XP_447620.1
OG0002541	CBS138_protein	QNG14782.1	XP_447621.1
OG0002541	sacCer_protein	QNG14782.1	NP_011084.1
OG0002542	CBS138_protein	QNG14783.1	XP_447622.1
OG0002542	sacCer_protein	QNG14783.1	NP_011085.1
OG0002543	sacCer_protein	QNG14785.1	NP_011086.3
OG0002543	CBS138_protein	QNG14785.1	XP_447624.1
OG0002544	sacCer_protein	QNG14786.1	NP_011688.3
OG0002544	CBS138_protein	QNG14786.1	XP_447625.1
OG0002545	sacCer_protein	QNG14787.1	NP_011687.1
OG0002545	CBS138_protein	QNG14787.1	XP_447626.1
OG0002546	sacCer_protein	QNG14788.1	NP_011686.1
OG0002546	CBS138_protein	QNG14788.1	XP_447627.1
OG0002547	CBS138_protein	QNG14789.1	XP_447628.1
OG0002547	sacCer_protein	QNG14789.1	NP_878080.3
OG0002548	CBS138_protein	QNG14790.1	XP_447629.1
OG0002548	sacCer_protein	QNG14790.1	NP_011685.3
OG0002549	CBS138_protein	QNG14792.1	XP_447631.1
OG0002549	sacCer_protein	QNG14792.1	NP_011683.3
OG0002550	CBS138_protein	QNG14793.1	XP_447632.1
OG0002550	sacCer_protein	QNG14793.1	NP_011682.1
OG0002551	sacCer_protein	QNG14794.1	NP_011681.1
OG0002551	CBS138_protein	QNG14794.1	XP_447633.1
OG0002552	CBS138_protein	QNG14795.1	XP_447634.1
OG0002552	sacCer_protein	QNG14795.1	NP_011704.3
OG0002553	CBS138_protein	QNG14797.1	XP_447636.1
OG0002553	sacCer_protein	QNG14797.1	NP_219497.4
OG0002554	CBS138_protein	QNG14798.1	XP_447637.1
OG0002554	sacCer_protein	QNG14798.1	NP_011882.1
OG0002555	CBS138_protein	QNG14799.1	XP_447638.1
OG0002555	sacCer_protein	QNG14799.1	NP_116681.1
OG0002556	CBS138_protein	QNG14800.1	XP_447639.1
OG0002556	sacCer_protein	QNG14800.1	NP_116683.1
OG0002557	CBS138_protein	QNG14801.1	XP_447640.1
OG0002557	sacCer_protein	QNG14801.1	NP_116684.3
OG0002558	sacCer_protein	QNG14804.1	NP_116685.1
OG0002558	CBS138_protein	QNG14804.1	XP_447643.1
OG0002559	CBS138_protein	QNG14805.1	XP_447644.1
OG0002559	sacCer_protein	QNG14805.1	NP_009816.1
OG0002560	CBS138_protein	QNG14806.1	XP_447645.1
OG0002560	sacCer_protein	QNG14806.1	NP_009817.3
OG0002561	sacCer_protein	QNG14808.1	NP_009819.1
OG0002561	CBS138_protein	QNG14808.1	XP_447647.1
OG0002562	CBS138_protein	QNG14809.1	XP_447648.1
OG0002562	sacCer_protein	QNG14809.1	NP_009820.1
OG0002563	CBS138_protein	QNG14810.1	XP_447649.1
OG0002563	sacCer_protein	QNG14810.1	NP_009821.3
OG0002564	CBS138_protein	QNG14811.1	XP_447650.1
OG0002564	sacCer_protein	QNG14811.1	NP_009822.4
OG0002565	CBS138_protein	QNG14812.1	XP_447651.1
OG0002565	sacCer_protein	QNG14812.1	NP_009823.2
OG0002566	CBS138_protein	QNG14813.1	XP_447652.1
OG0002566	sacCer_protein	QNG14813.1	NP_009824.2
OG0002567	CBS138_protein	QNG14814.1	XP_447653.1
OG0002567	sacCer_protein	QNG14814.1	NP_009825.4
OG0002568	CBS138_protein	QNG14815.1	XP_447654.1
OG0002568	sacCer_protein	QNG14815.1	NP_009827.3
OG0002569	CBS138_protein	QNG14816.1	XP_447655.1
OG0002569	sacCer_protein	QNG14816.1	NP_009828.2
OG0002570	sacCer_protein	QNG14818.1	NP_009830.3
OG0002570	CBS138_protein	QNG14818.1	XP_447657.1
OG0002571	CBS138_protein	QNG14819.1	XP_447658.1
OG0002571	sacCer_protein	QNG14819.1	NP_009831.3
OG0002572	CBS138_protein	QNG14821.1	XP_447660.1
OG0002572	sacCer_protein	QNG14821.1	NP_009833.1
OG0002573	sacCer_protein	QNG14822.1	NP_011387.2
OG0002573	CBS138_protein	QNG14822.1	XP_447661.1
OG0002574	sacCer_protein	QNG14823.1	NP_011386.2
OG0002574	CBS138_protein	QNG14823.1	XP_447662.1
OG0002575	CBS138_protein	QNG14824.1	XP_447663.1
OG0002575	sacCer_protein	QNG14824.1	NP_011385.3
OG0002576	sacCer_protein	QNG14825.1	NP_014947.3
OG0002576	CBS138_protein	QNG14825.1	XP_447664.1
OG0002577	CBS138_protein	QNG14828.1	XP_447667.1
OG0002577	sacCer_protein	QNG14828.1	NP_014949.3
OG0002578	sacCer_protein	QNG14829.1	NP_014950.1
OG0002578	CBS138_protein	QNG14829.1	XP_447668.1
OG0002579	CBS138_protein	QNG14832.1	XP_447671.1
OG0002579	sacCer_protein	QNG14832.1	NP_014952.1
OG0002580	sacCer_protein	QNG14833.1	NP_014953.3
OG0002580	CBS138_protein	QNG14833.1	XP_447672.1
OG0002581	CBS138_protein	QNG14834.1	XP_447673.1
OG0002581	sacCer_protein	QNG14834.1	NP_014955.1
OG0002582	CBS138_protein	QNG14835.1	XP_447674.1
OG0002582	sacCer_protein	QNG14835.1	NP_014956.3
OG0002583	sacCer_protein	QNG14837.1	NP_014960.1
OG0002583	CBS138_protein	QNG14837.1	XP_447676.1
OG0002584	CBS138_protein	QNG14839.1	XP_447678.1
OG0002584	sacCer_protein	QNG14839.1	NP_014964.1
OG0002585	sacCer_protein	QNG14840.1	NP_014965.3
OG0002585	CBS138_protein	QNG14840.1	XP_447679.1
OG0002586	sacCer_protein	QNG14841.1	NP_014588.1
OG0002586	CBS138_protein	QNG14841.1	XP_447680.1
OG0002587	sacCer_protein	QNG14842.1	NP_014587.1
OG0002587	CBS138_protein	QNG14842.1	XP_447681.1
OG0002588	sacCer_protein	QNG14843.1	NP_011658.3
OG0002588	CBS138_protein	QNG14843.1	XP_447682.1
OG0002589	sacCer_protein	QNG14850.1	NP_011656.3
OG0002589	CBS138_protein	QNG14850.1	XP_447688.1
OG0002590	CBS138_protein	QNG14853.1	XP_447692.1
OG0002590	sacCer_protein	QNG14853.1	NP_011651.3
OG0002591	CBS138_protein	QNG14854.1	XP_447693.1
OG0002591	sacCer_protein	QNG14854.1	NP_011650.3
OG0002592	sacCer_protein	QNG14855.1	NP_011649.1
OG0002592	CBS138_protein	QNG14855.1	XP_447694.1
OG0002593	CBS138_protein	QNG14856.1	XP_447695.1
OG0002593	sacCer_protein	QNG14856.1	NP_011648.3
OG0002594	sacCer_protein	QNG14858.1	NP_011646.1
OG0002594	CBS138_protein	QNG14858.1	XP_447697.1
OG0002595	CBS138_protein	QNG14859.1	XP_447698.1
OG0002595	sacCer_protein	QNG14859.1	NP_011645.3
OG0002596	CBS138_protein	QNG14860.1	XP_447699.1
OG0002596	sacCer_protein	QNG14860.1	NP_011644.3
OG0002597	CBS138_protein	QNG14861.1	XP_447700.1
OG0002597	sacCer_protein	QNG14861.1	NP_011643.1
OG0002598	CBS138_protein	QNG14862.1	XP_447701.1
OG0002598	sacCer_protein	QNG14862.1	NP_011642.3
OG0002599	sacCer_protein	QNG14863.1	NP_011641.1
OG0002599	CBS138_protein	QNG14863.1	XP_447702.1
OG0002600	CBS138_protein	QNG14865.1	XP_447704.1
OG0002600	sacCer_protein	QNG14865.1	NP_015470.1
OG0002601	sacCer_protein	QNG14866.1	NP_011637.3
OG0002601	CBS138_protein	QNG14866.1	XP_447706.1
OG0002602	CBS138_protein	QNG14869.1	XP_447709.1
OG0002602	sacCer_protein	QNG14869.1	NP_012447.1
OG0002603	sacCer_protein	QNG14870.1	NP_009724.1
OG0002603	CBS138_protein	QNG14870.1	XP_447710.1
OG0002604	sacCer_protein	QNG14871.1	NP_009723.3
OG0002604	CBS138_protein	QNG14871.1	XP_447711.1
OG0002605	CBS138_protein	QNG14873.1	XP_447713.1
OG0002605	sacCer_protein	QNG14873.1	NP_014838.3
OG0002606	sacCer_protein	QNG14874.1	NP_014839.1
OG0002606	CBS138_protein	QNG14874.1	XP_447714.1
OG0002607	CBS138_protein	QNG14875.1	XP_447715.1
OG0002607	sacCer_protein	QNG14875.1	NP_014840.4
OG0002608	sacCer_protein	QNG14876.1	NP_014841.1
OG0002608	CBS138_protein	QNG14876.1	XP_447716.1
OG0002609	CBS138_protein	QNG14877.1	XP_447717.1
OG0002609	sacCer_protein	QNG14877.1	NP_014844.3
OG0002610	CBS138_protein	QNG14882.1	XP_447720.1
OG0002610	sacCer_protein	QNG14882.1	NP_011540.3
OG0002611	sacCer_protein	QNG14883.1	NP_011538.3
OG0002611	CBS138_protein	QNG14883.1	XP_447721.1
OG0002612	CBS138_protein	QNG14885.1	XP_447723.1
OG0002612	sacCer_protein	QNG14885.1	NP_010566.1
OG0002613	CBS138_protein	QNG14886.1	XP_447724.1
OG0002613	sacCer_protein	QNG14886.1	NP_011911.1
OG0002614	sacCer_protein	QNG14887.1	NP_011912.1
OG0002614	CBS138_protein	QNG14887.1	XP_447725.1
OG0002615	CBS138_protein	QNG14890.1	XP_447728.1
OG0002615	sacCer_protein	QNG14890.1	NP_011915.1
OG0002616	sacCer_protein	QNG14891.1	NP_011917.1
OG0002616	CBS138_protein	QNG14891.1	XP_447729.1
OG0002617	CBS138_protein	QNG14892.1	XP_447730.1
OG0002617	sacCer_protein	QNG14892.1	NP_011918.1
OG0002618	CBS138_protein	QNG14894.1	XP_447732.1
OG0002618	sacCer_protein	QNG14894.1	NP_011919.1
OG0002619	sacCer_protein	QNG14895.1	NP_011897.1
OG0002619	CBS138_protein	QNG14895.1	XP_447733.1
OG0002620	sacCer_protein	QNG14896.1	NP_011896.1
OG0002620	CBS138_protein	QNG14896.1	XP_447734.1
OG0002621	sacCer_protein	QNG14897.1	NP_011895.1
OG0002621	CBS138_protein	QNG14897.1	XP_447735.1
OG0002622	sacCer_protein	QNG14898.1	NP_011894.1
OG0002622	CBS138_protein	QNG14898.1	XP_447736.1
OG0002623	sacCer_protein	QNG14899.1	NP_011893.1
OG0002623	CBS138_protein	QNG14899.1	XP_447737.1
OG0002624	CBS138_protein	QNG14900.1	XP_447738.1
OG0002624	sacCer_protein	QNG14900.1	NP_011892.1
OG0002625	sacCer_protein	QNG14901.1	NP_011891.1
OG0002625	CBS138_protein	QNG14901.1	XP_447739.1
OG0002626	sacCer_protein	QNG14902.1	NP_011890.1
OG0002626	CBS138_protein	QNG14902.1	XP_447740.1
OG0002627	CBS138_protein	QNG14903.1	XP_447741.1
OG0002627	sacCer_protein	QNG14903.1	NP_011889.1
OG0002628	CBS138_protein	QNG14904.1	XP_447742.1
OG0002628	sacCer_protein	QNG14904.1	NP_011888.1
OG0002629	sacCer_protein	QNG14905.1	NP_011887.1
OG0002629	CBS138_protein	QNG14905.1	XP_447743.1
OG0002630	sacCer_protein	QNG14907.1	NP_012495.1
OG0002630	CBS138_protein	QNG14907.1	XP_447745.1
OG0002631	sacCer_protein	QNG14908.1	NP_012494.3
OG0002631	CBS138_protein	QNG14908.1	XP_447746.1
OG0002632	sacCer_protein	QNG14909.1	NP_012493.1
OG0002632	CBS138_protein	QNG14909.1	XP_447747.1
OG0002633	CBS138_protein	QNG14910.1	XP_447748.1
OG0002633	sacCer_protein	QNG14910.1	NP_012491.3
OG0002634	CBS138_protein	QNG14912.1	XP_447750.1
OG0002634	sacCer_protein	QNG14912.1	NP_012778.1
OG0002635	CBS138_protein	QNG14913.1	XP_447751.1
OG0002635	sacCer_protein	QNG14913.1	NP_012779.1
OG0002636	CBS138_protein	QNG14914.1	XP_447752.1
OG0002636	sacCer_protein	QNG14914.1	NP_013107.1
OG0002637	CBS138_protein	QNG14915.1	XP_447753.1
OG0002637	sacCer_protein	QNG14915.1	NP_013108.1
OG0002638	sacCer_protein	QNG14916.1	NP_013109.1
OG0002638	CBS138_protein	QNG14916.1	XP_447754.1
OG0002639	sacCer_protein	QNG14918.1	NP_012498.1
OG0002639	CBS138_protein	QNG14918.1	XP_447755.1
OG0002640	CBS138_protein	QNG14919.1	XP_447756.1
OG0002640	sacCer_protein	QNG14919.1	NP_012499.1
OG0002641	CBS138_protein	QNG14920.1	XP_447757.1
OG0002641	sacCer_protein	QNG14920.1	NP_012501.1
OG0002642	CBS138_protein	QNG14921.1	XP_447758.2
OG0002642	sacCer_protein	QNG14921.1	NP_012503.2
OG0002643	CBS138_protein	QNG14922.1	XP_447759.1
OG0002643	sacCer_protein	QNG14922.1	NP_012504.3
OG0002644	CBS138_protein	QNG14923.1	XP_447760.1
OG0002644	sacCer_protein	QNG14923.1	NP_012505.1
OG0002645	sacCer_protein	QNG14924.1	NP_013103.1
OG0002645	CBS138_protein	QNG14924.1	XP_447761.1
OG0002646	CBS138_protein	QNG14925.1	XP_447762.1
OG0002646	sacCer_protein	QNG14925.1	NP_012810.1
OG0002647	CBS138_protein	QNG14926.1	XP_447763.1
OG0002647	sacCer_protein	QNG14926.1	NP_013816.1
OG0002648	CBS138_protein	QNG14927.1	XP_447764.1
OG0002648	sacCer_protein	QNG14927.1	NP_013815.1
OG0002649	sacCer_protein	QNG14928.1	NP_013812.1
OG0002649	CBS138_protein	QNG14928.1	XP_447765.1
OG0002650	sacCer_protein	QNG14929.1	NP_013811.1
OG0002650	CBS138_protein	QNG14929.1	XP_447766.1
OG0002651	CBS138_protein	QNG14930.1	XP_447767.1
OG0002651	sacCer_protein	QNG14930.1	NP_013810.1
OG0002652	sacCer_protein	QNG14931.1	NP_013809.1
OG0002652	CBS138_protein	QNG14931.1	XP_447768.1
OG0002653	CBS138_protein	QNG14932.1	XP_447769.1
OG0002653	sacCer_protein	QNG14932.1	NP_013808.1
OG0002654	CBS138_protein	QNG14935.1	XP_447772.1
OG0002654	sacCer_protein	QNG14935.1	NP_013805.1
OG0002655	sacCer_protein	QNG14939.1	NP_011850.1
OG0002655	CBS138_protein	QNG14939.1	XP_447776.1
OG0002656	CBS138_protein	QNG14940.1	XP_447777.1
OG0002656	sacCer_protein	QNG14940.1	NP_013793.1
OG0002657	CBS138_protein	QNG14941.1	XP_447778.1
OG0002657	sacCer_protein	QNG14941.1	NP_013791.1
OG0002658	CBS138_protein	QNG14943.1	XP_447781.1
OG0002658	sacCer_protein	QNG14943.1	NP_015336.1
OG0002659	sacCer_protein	QNG14944.1	NP_001091638.1
OG0002659	CBS138_protein	QNG14944.1	XP_002999566.1
OG0002660	sacCer_protein	QNG14948.1	NP_015335.1
OG0002660	CBS138_protein	QNG14948.1	XP_447785.1
OG0002661	CBS138_protein	QNG14950.1	XP_447787.1
OG0002661	sacCer_protein	QNG14950.1	NP_012271.3
OG0002662	CBS138_protein	QNG14951.1	XP_447788.1
OG0002662	sacCer_protein	QNG14951.1	NP_012270.1
OG0002663	sacCer_protein	QNG14952.1	NP_012269.1
OG0002663	CBS138_protein	QNG14952.1	XP_447789.1
OG0002664	CBS138_protein	QNG14953.1	XP_447790.1
OG0002664	sacCer_protein	QNG14953.1	NP_012268.3
OG0002665	sacCer_protein	QNG14954.1	NP_012267.1
OG0002665	CBS138_protein	QNG14954.1	XP_447791.1
OG0002666	CBS138_protein	QNG14955.1	XP_447792.1
OG0002666	sacCer_protein	QNG14955.1	NP_012260.1
OG0002667	CBS138_protein	QNG14958.1	XP_447795.1
OG0002667	sacCer_protein	QNG14958.1	NP_012261.1
OG0002668	CBS138_protein	QNG14959.1	XP_447796.1
OG0002668	sacCer_protein	QNG14959.1	NP_012262.3
OG0002669	CBS138_protein	QNG14960.1	XP_447797.1
OG0002669	sacCer_protein	QNG14960.1	NP_012263.1
OG0002670	CBS138_protein	QNG14961.1	XP_447798.1
OG0002670	sacCer_protein	QNG14961.1	NP_012264.3
OG0002671	CBS138_protein	QNG14962.1	XP_447799.1
OG0002671	sacCer_protein	QNG14962.1	NP_012265.3
OG0002672	CBS138_protein	QNG14963.1	XP_447800.1
OG0002672	sacCer_protein	QNG14963.1	NP_012266.1
OG0002673	CBS138_protein	QNG14964.1	XP_447801.1
OG0002673	sacCer_protein	QNG14964.1	NP_010917.3
OG0002674	sacCer_protein	QNG14965.1	NP_010918.1
OG0002674	CBS138_protein	QNG14965.1	XP_447802.1
OG0002675	sacCer_protein	QNG14966.1	NP_010923.3
OG0002675	CBS138_protein	QNG14966.1	XP_447803.1
OG0002676	sacCer_protein	QNG14967.1	NP_012249.1
OG0002676	CBS138_protein	QNG14967.1	XP_447804.1
OG0002677	CBS138_protein	QNG14968.1	XP_447805.1
OG0002677	sacCer_protein	QNG14968.1	NP_012248.1
OG0002678	sacCer_protein	QNG14970.1	NP_012247.3
OG0002678	CBS138_protein	QNG14970.1	XP_447806.1
OG0002679	sacCer_protein	QNG14971.1	NP_012245.1
OG0002679	CBS138_protein	QNG14971.1	XP_447808.1
OG0002680	sacCer_protein	QNG14972.1	NP_012244.3
OG0002680	CBS138_protein	QNG14972.1	XP_447809.1
OG0002681	CBS138_protein	QNG14973.1	XP_447810.1
OG0002681	sacCer_protein	QNG14973.1	NP_012243.3
OG0002682	CBS138_protein	QNG14974.1	XP_447811.1
OG0002682	sacCer_protein	QNG14974.1	NP_012242.1
OG0002683	sacCer_protein	QNG14975.1	NP_012233.1
OG0002683	CBS138_protein	QNG14975.1	XP_447812.1
OG0002684	sacCer_protein	QNG14976.1	NP_012234.3
OG0002684	CBS138_protein	QNG14976.1	XP_447813.1
OG0002685	CBS138_protein	QNG14982.1	XP_447820.1
OG0002685	sacCer_protein	QNG14982.1	NP_116696.2
OG0002686	CBS138_protein	QNG14983.1	XP_447821.1
OG0002686	sacCer_protein	QNG14983.1	NP_010962.1
OG0002687	sacCer_protein	QNG14987.1	NP_010968.1
OG0002687	CBS138_protein	QNG14987.1	XP_447825.1
OG0002688	CBS138_protein	QNG14988.1	XP_447826.1
OG0002688	sacCer_protein	QNG14988.1	NP_010969.1
OG0002689	sacCer_protein	QNG14989.1	NP_010970.4
OG0002689	CBS138_protein	QNG14989.1	XP_447827.1
OG0002690	CBS138_protein	QNG14990.1	XP_447828.1
OG0002690	sacCer_protein	QNG14990.1	NP_010971.1
OG0002691	sacCer_protein	QNG14991.1	NP_010972.1
OG0002691	CBS138_protein	QNG14991.1	XP_447829.1
OG0002692	sacCer_protein	QNG14993.1	NP_010979.1
OG0002692	CBS138_protein	QNG14993.1	XP_447831.1
OG0002693	CBS138_protein	QNG14995.1	XP_447833.1
OG0002693	sacCer_protein	QNG14995.1	NP_010983.2
OG0002694	sacCer_protein	QNG14996.1	NP_010985.1
OG0002694	CBS138_protein	QNG14996.1	XP_447834.1
OG0002695	sacCer_protein	QNG14998.1	NP_010987.3
OG0002695	CBS138_protein	QNG14998.1	XP_447837.2
OG0002696	CBS138_protein	QNG14999.1	XP_447838.1
OG0002696	sacCer_protein	QNG14999.1	NP_010990.1
OG0002697	CBS138_protein	QNG15000.1	XP_447839.1
OG0002697	sacCer_protein	QNG15000.1	NP_010991.3
OG0002698	CBS138_protein	QNG15001.1	XP_447840.1
OG0002698	sacCer_protein	QNG15001.1	NP_010992.1
OG0002699	sacCer_protein	QNG15003.1	NP_012196.1
OG0002699	CBS138_protein	QNG15003.1	XP_447842.1
OG0002700	CBS138_protein	QNG15004.1	XP_447843.1
OG0002700	sacCer_protein	QNG15004.1	NP_010994.3
OG0002701	sacCer_protein	QNG15007.1	NP_219496.2
OG0002701	CBS138_protein	QNG15007.1	XP_002999570.1
OG0002702	sacCer_protein	QNG15008.1	NP_010998.2
OG0002702	CBS138_protein	QNG15008.1	XP_447846.1
OG0002703	sacCer_protein	QNG15009.1	NP_011000.1
OG0002703	CBS138_protein	QNG15009.1	XP_447847.1
OG0002704	CBS138_protein	QNG15010.1	XP_447848.1
OG0002704	sacCer_protein	QNG15010.1	NP_011001.1
OG0002705	sacCer_protein	QNG15011.1	NP_011003.1
OG0002705	CBS138_protein	QNG15011.1	XP_447849.1
OG0002706	sacCer_protein	QNG15012.1	NP_011005.1
OG0002706	CBS138_protein	QNG15012.1	XP_447850.1
OG0002707	CBS138_protein	QNG15013.1	XP_447851.1
OG0002707	sacCer_protein	QNG15013.1	NP_011006.2
OG0002708	CBS138_protein	QNG15016.1	XP_447854.1
OG0002708	sacCer_protein	QNG15016.1	NP_014377.1
OG0002709	CBS138_protein	QNG15017.1	XP_447855.1
OG0002709	sacCer_protein	QNG15017.1	NP_009997.2
OG0002710	sacCer_protein	QNG15018.1	NP_009996.2
OG0002710	CBS138_protein	QNG15018.1	XP_447856.1
OG0002711	sacCer_protein	QNG15020.1	NP_009994.2
OG0002711	CBS138_protein	QNG15020.1	XP_447858.1
OG0002712	CBS138_protein	QNG15022.1	XP_447860.1
OG0002712	sacCer_protein	QNG15022.1	NP_009992.1
OG0002713	sacCer_protein	QNG15023.1	NP_009991.2
OG0002713	CBS138_protein	QNG15023.1	XP_447861.1
OG0002714	CBS138_protein	QNG15024.1	XP_447862.1
OG0002714	sacCer_protein	QNG15024.1	NP_009990.1
OG0002715	sacCer_protein	QNG15025.1	NP_015165.1
OG0002715	CBS138_protein	QNG15025.1	XP_447863.1
OG0002716	CBS138_protein	QNG15026.1	XP_447864.1
OG0002716	sacCer_protein	QNG15026.1	NP_014888.1
OG0002717	CBS138_protein	QNG15027.1	XP_447865.1
OG0002717	sacCer_protein	QNG15027.1	NP_014887.3
OG0002718	sacCer_protein	QNG15028.1	NP_014886.1
OG0002718	CBS138_protein	QNG15028.1	XP_447866.1
OG0002719	sacCer_protein	QNG15029.1	NP_014885.3
OG0002719	CBS138_protein	QNG15029.1	XP_447867.1
OG0002720	sacCer_protein	QNG15030.1	NP_014884.1
OG0002720	CBS138_protein	QNG15030.1	XP_447868.1
OG0002721	CBS138_protein	QNG15033.1	XP_447872.1
OG0002721	sacCer_protein	QNG15033.1	NP_014875.3
OG0002722	sacCer_protein	QNG15035.1	NP_014879.1
OG0002722	CBS138_protein	QNG15035.1	XP_447874.1
OG0002723	sacCer_protein	QNG15037.1	NP_014881.2
OG0002723	CBS138_protein	QNG15037.1	XP_447876.1
OG0002724	sacCer_protein	QNG15040.1	NP_014871.3
OG0002724	CBS138_protein	QNG15040.1	XP_447879.1
OG0002725	CBS138_protein	QNG15042.1	XP_447881.1
OG0002725	sacCer_protein	QNG15042.1	NP_014869.3
OG0002726	sacCer_protein	QNG15043.1	NP_014867.1
OG0002726	CBS138_protein	QNG15043.1	XP_447882.1
OG0002727	CBS138_protein	QNG15044.1	XP_447883.1
OG0002727	sacCer_protein	QNG15044.1	NP_014866.3
OG0002728	sacCer_protein	QNG15046.1	NP_014864.4
OG0002728	CBS138_protein	QNG15046.1	XP_447885.1
OG0002729	CBS138_protein	QNG15047.1	XP_447886.1
OG0002729	sacCer_protein	QNG15047.1	NP_014863.1
OG0002730	sacCer_protein	QNG15048.1	NP_116641.1
OG0002730	CBS138_protein	QNG15048.1	XP_447887.1
OG0002731	CBS138_protein	QNG15049.1	XP_447888.1
OG0002731	sacCer_protein	QNG15049.1	NP_116640.1
OG0002732	sacCer_protein	QNG15050.1	NP_116638.1
OG0002732	CBS138_protein	QNG15050.1	XP_447889.1
OG0002733	sacCer_protein	QNG15051.1	NP_013961.1
OG0002733	CBS138_protein	QNG15051.1	XP_447890.1
OG0002734	CBS138_protein	QNG15052.1	XP_447891.1
OG0002734	sacCer_protein	QNG15052.1	NP_009538.1
OG0002735	CBS138_protein	QNG15053.1	XP_447892.1
OG0002735	sacCer_protein	QNG15053.1	NP_009537.1
OG0002736	sacCer_protein	QNG15055.1	NP_009535.1
OG0002736	CBS138_protein	QNG15055.1	XP_447894.1
OG0002737	sacCer_protein	QNG15056.1	NP_009534.1
OG0002737	CBS138_protein	QNG15056.1	XP_447895.1
OG0002738	CBS138_protein	QNG15057.1	XP_447896.1
